n_shots,seed,n_total,accuracy,ari,temps_s
8,42,56,0.7523809523809524,0.5315993527131168,426.49314880371094
8,0,56,0.8285714285714286,0.6466849690771711,418.9494082927704
8,1,56,0.7714285714285715,0.5641994486194495,449.8704209327698
16,42,112,0.8238095238095238,0.6521607922151847,838.477489233017
16,0,112,0.8666666666666667,0.7146468298690797,848.3343904018402
16,1,112,0.8523809523809524,0.6950623677014345,858.9679155349731
32,42,224,0.8761904761904762,0.7419643558704976,1904.8114409446716
32,0,224,0.8761904761904762,0.7391956752708636,3448.310078859329
32,1,224,0.8857142857142857,0.7636763592870016,7427.4203090667725
